Team_Id,Team_Name
15,PSG.LGD
2626685,KEEN GAMING
726228,Vici Gaming
2672298,Infamous Gaming
543897,Mineski
350190,Fnatic
36,Natus Vincere
111474,Alliance
2108395,TNC Predator
1883502,Virtus.pro
39,Evil Geniuses
2163,Team Liquid
2586976,OG
6214973,Ninjas in Pyjamas
7203342,Chaos Esports Club
6209804,Royal Never Give Up
6214538,Forward Gaming
1838315,Team Secret
